email,jobTitle,numberOfPositions,gender,lastEducation,jurusan,minWorkExperience,ageRange_min,ageRange_max,lokasiKerja,requiredCompetencies,acceptedDisabilityTypes
agungrizqiromadlon023@gmail.com,Operative (Cleaning Service),75,Perempuan dan Laki-laki,SMP,,Lulusan Baru,19,28,,,
agungrizqiromadlon023@gmail.com,Receptionist,30,Perempuan dan Laki-laki,SMA/SMK,,1-2 Tahun ,19,28,,"- English: Basic Conversation.
- Hospitality.
- Well Grooming & Good Communication.
",
agungrizqiromadlon023@gmail.com,Security Guard,50,Perempuan dan Laki-laki,SMA/SMK,,Lulusan Baru,20,35,,"- Security knowledge.
- KTA & Gada Pratama Certification.
- Hospitalty.
- Dicipline & Hard Worker.",
agungrizqiromadlon023@gmail.com,Gardener,25,Laki-laki,SMA/SMK,,1-2 Tahun ,20,35,,"Know gardening tools have a knowledge about the plants and flower have a knowledge about pesticide.
",
agungrizqiromadlon023@gmail.com,Tax Associate,2,Laki-laki,D3,,1-2 Tahun ,20,35,,"- Have an experience in the same industry or outsource.
- Familiar with Oracle, Accurate, DJP or Coretax.
- Brevet A&B for Tax.
",
agungrizqiromadlon023@gmail.com,Engineer,15,Laki-laki,SMA/SMK,,1-2 Tahun ,20,35,,"- Know about the M.E.P (Mechanical, Electrical & Plumbing).
- Have K3 Certification (BNSP Minimum).
- Ready to work at the week-end.
- Able to work shifting.",
agungrizqiromadlon023@gmail.com,Gondolaman,15,Laki-laki,SMA/SMK,,1-2 Tahun ,20,35,,"- Know about gondola tools for cleaning.
- Have SIO Certification.
- Have K3 (Gondola) Certification.
- Ready to work at the week-end
- Able to work shifting.",
agungrizqiromadlon023@gmail.com,Rope Akses,15,Laki-laki,SMA/SMK,,1-2 Tahun ,20,35,,"- Know about gondola tools for cleaning.
- Have SIO Certification.
- Have K3 (Gondola) Certification.
- Ready to work at the week-end
- Able to work shifting.",
pluitdohr@astonhotelsinternational.com,GRO Mandarin ,1,Perempuan dan Laki-laki,SMA/SMK,,Lulusan Baru,21,25,,,
pluitdohr@astonhotelsinternational.com,Duty Manager,1,Perempuan dan Laki-laki,SMA/SMK,,Lulusan Baru,21,25,,,
pluitdohr@astonhotelsinternational.com,Sales Banquet Manager ,1,Perempuan dan Laki-laki,SMA/SMK,,Lulusan Baru,21,25,,,
pluitdohr@astonhotelsinternational.com,Internship FB Service,5,Perempuan dan Laki-laki,SMA/SMK,,Lulusan Baru,21,25,,,
